,mut_rate,cross_rate,elite_size,tournament_size,num_of_iterations,pop_size,modularity,dissagregation,systems_used
0,0.001,0.5,10,10,100,150,1,False,24190
1,0.001,0.5,10,10,100,250,1,False,23696
2,0.001,0.5,10,10,800,150,1,False,23823
3,0.001,0.5,10,10,800,250,1,False,22444
4,0.001,0.75,10,10,100,150,1,False,23869
5,0.001,0.75,10,10,100,250,1,False,23566
6,0.001,0.75,10,10,800,150,1,False,23716
7,0.001,0.75,10,10,800,250,1,False,23092
8,0.5,0.5,10,10,100,150,1,False,29073
9,0.5,0.5,10,10,100,250,1,False,24931
10,0.5,0.5,10,10,800,150,1,False,27769
11,0.5,0.5,10,10,800,250,1,False,27255
12,0.5,0.75,10,10,100,150,1,False,29224
13,0.5,0.75,10,10,100,250,1,False,28760
14,0.5,0.75,10,10,800,150,1,False,27691
15,0.5,0.75,10,10,800,250,1,False,25344
