Iteration,Avg,Max,Min
1,2.1448139498590558e-05,2.411672494875196e-05,2.0643669618711424e-05
2,2.2061844011995884e-05,2.509977159207851e-05,2.1263475727742457e-05
3,2.271271122069011e-05,2.509977159207851e-05,2.195341485368049e-05
4,2.3293041910072752e-05,2.6292264815691224e-05,2.251187501406992e-05
5,2.3910062338860704e-05,2.6690154002188592e-05,2.3194322029967063e-05
6,2.4571492931155135e-05,2.706140232186832e-05,2.3827678231033168e-05
7,2.5184964538789664e-05,2.754365669586294e-05,2.446303635207202e-05
8,2.571418002325399e-05,2.7973592928275707e-05,2.5055121266786932e-05
9,2.6215259993229693e-05,2.831657935721365e-05,2.5590500806100776e-05
10,2.6624496865508045e-05,2.875298312199891e-05,2.6111024074364197e-05
11,2.698128293809669e-05,2.875298312199891e-05,2.6528013582342954e-05
12,2.7312202595443045e-05,2.887169419101513e-05,2.6838432635534083e-05
13,2.7665596964823708e-05,2.907061251780575e-05,2.720126213856323e-05
14,2.8044749674322194e-05,2.946289148817065e-05,2.7564155572094048e-05
15,2.8429304825629756e-05,3.0105066682722702e-05,2.7930620339077732e-05
16,2.8843800687437557e-05,3.0579169469757204e-05,2.8380065841752754e-05
17,2.917424073459421e-05,3.1633556877135266e-05,2.872902780969892e-05
18,2.954665133499513e-05,3.1633556877135266e-05,2.9116319697190274e-05
19,2.989069805780904e-05,3.1633556877135266e-05,2.946289148817065e-05
20,3.0240075354757846e-05,3.197135366711427e-05,2.9783178460805337e-05
21,3.05595992507621e-05,3.219160442956477e-05,3.010144185906505e-05
22,3.098762273745063e-05,3.3206043499916987e-05,3.040807638508788e-05
23,3.14079303892162e-05,3.3206043499916987e-05,3.086896125945362e-05
24,3.175584982911597e-05,3.438198384046759e-05,3.127443315089914e-05
25,3.2162120414895884e-05,3.447087211306446e-05,3.166761669516752e-05
26,3.252961829583215e-05,3.467526613266757e-05,3.202664616961312e-05
27,3.284565108205941e-05,3.467526613266757e-05,3.23960088117144e-05
28,3.312524255589364e-05,3.471740036106096e-05,3.272037170342255e-05
29,3.347171169466756e-05,3.498338289312577e-05,3.297935492381769e-05
30,3.384535965489612e-05,3.506803198204517e-05,3.3337778370449396e-05
31,3.423430265749084e-05,3.524229074889868e-05,3.373022565520963e-05
32,3.455143855038254e-05,3.5396977098155815e-05,3.411688444611238e-05
33,3.4843297422352905e-05,3.5488679111363474e-05,3.451965894576962e-05
34,3.5059053130803974e-05,3.573725966692874e-05,3.478865889719951e-05
35,3.5218353623547654e-05,3.604902667627974e-05,3.503485968538696e-05
36,3.5332820890298966e-05,3.6158518947063925e-05,3.521870817778404e-05
37,3.544976043490137e-05,3.643650938240116e-05,3.524229074889868e-05
38,3.559021276754447e-05,3.684055408193339e-05,3.539572419651706e-05
39,3.5775488940897456e-05,3.684055408193339e-05,3.547734771348494e-05
40,3.598919675867756e-05,3.684055408193339e-05,3.573725966692874e-05
41,3.624758237866067e-05,3.684055408193339e-05,3.5942779095679676e-05
42,3.646596807012387e-05,3.6884036588964295e-05,3.614544928793465e-05
43,3.665064057862011e-05,3.6884036588964295e-05,3.6493686592219546e-05
44,3.671801271797799e-05,3.6907178446207786e-05,3.661662394727206e-05
45,3.680021665959312e-05,3.705075954057058e-05,3.665957914803138e-05
46,3.686168638188959e-05,3.705075954057058e-05,3.684055408193339e-05
47,3.687908932827423e-05,3.705075954057058e-05,3.684055408193339e-05
48,3.692456542829634e-05,3.705075954057058e-05,3.684055408193339e-05
49,3.699587567264211e-05,3.705075954057058e-05,3.6884036588964295e-05
50,3.7052205208540336e-05,3.723146803678469e-05,3.705075954057058e-05
51,3.705292804252519e-05,3.723146803678469e-05,3.705075954057058e-05
52,3.7055096544479764e-05,3.723146803678469e-05,3.705075954057058e-05
53,3.7057265046434325e-05,3.723146803678469e-05,3.705075954057058e-05
54,3.706232488432833e-05,3.723146803678469e-05,3.705075954057058e-05
55,3.707244456011632e-05,3.723146803678469e-05,3.705075954057058e-05
56,3.70861784058286e-05,3.723146803678469e-05,3.705075954057058e-05
57,3.710497208943487e-05,3.723146803678469e-05,3.705075954057058e-05
58,3.71627988082235e-05,3.723146803678469e-05,3.705075954057058e-05
59,3.723146803678491e-05,3.723146803678469e-05,3.723146803678469e-05
60,3.723146803678491e-05,3.723146803678469e-05,3.723146803678469e-05
61,3.723146803678491e-05,3.723146803678469e-05,3.723146803678469e-05
62,3.723146803678491e-05,3.723146803678469e-05,3.723146803678469e-05
63,3.723146803678491e-05,3.723146803678469e-05,3.723146803678469e-05
64,3.723146803678491e-05,3.723146803678469e-05,3.723146803678469e-05
65,3.723146803678491e-05,3.723146803678469e-05,3.723146803678469e-05
66,3.723146803678491e-05,3.723146803678469e-05,3.723146803678469e-05
67,3.723146803678491e-05,3.723146803678469e-05,3.723146803678469e-05
68,3.723146803678491e-05,3.723146803678469e-05,3.723146803678469e-05
