Iteration,Avg,Max,Min
1,2.1390576350749665e-05,2.3599933920185024e-05,2.068808573142727e-05
2,2.1935220127743418e-05,2.373380168035316e-05,2.1329238119614367e-05
3,2.2502746562260355e-05,2.428127428127428e-05,2.1897650382114e-05
4,2.2970484855963777e-05,2.462447672986949e-05,2.2406955118868898e-05
5,2.342116773132601e-05,2.523468254769355e-05,2.284043670914988e-05
6,2.3902750501971763e-05,2.5889297364469527e-05,2.330730684069456e-05
7,2.4435449687753217e-05,2.7051885516420494e-05,2.3757483607336312e-05
8,2.4898750392545892e-05,2.7051885516420494e-05,2.4243599689681924e-05
9,2.5491458499687456e-05,2.7125264471328594e-05,2.4820670654521084e-05
10,2.5951296886433074e-05,2.793920429146178e-05,2.5381354856722253e-05
11,2.6414218485404412e-05,2.8072539441917915e-05,2.5876568766981498e-05
12,2.689109427576495e-05,2.8453549580310145e-05,2.637339451960862e-05
13,2.7260618647315637e-05,2.872325147206664e-05,2.679672008146203e-05
14,2.763823731121286e-05,2.9549954197570995e-05,2.7168745075664954e-05
15,2.8023559512460705e-05,2.9549954197570995e-05,2.7547450483457756e-05
16,2.8401258665490033e-05,3.0041758043680716e-05,2.7939984912408146e-05
17,2.8717258398170668e-05,3.0041758043680716e-05,2.8372013845542756e-05
18,2.8984420593896532e-05,3.0041758043680716e-05,2.8665615594094882e-05
19,2.927576100947973e-05,3.006162633398467e-05,2.8942722352464474e-05
20,2.9490299994165587e-05,3.0239801626901326e-05,2.918685424084992e-05
21,2.9730651653434957e-05,3.075787401574803e-05,2.9466364145328107e-05
22,2.993577448953785e-05,3.093293739173472e-05,2.9661268315833184e-05
23,3.0119774007577975e-05,3.093293739173472e-05,2.9883752203926725e-05
24,3.0315059009892672e-05,3.0999101026070246e-05,3.0082425846820288e-05
25,3.053184624929702e-05,3.135877575339459e-05,3.0284675953967292e-05
26,3.072582206434817e-05,3.135877575339459e-05,3.0461800901669307e-05
27,3.090434964053515e-05,3.1465340926968945e-05,3.071724773460298e-05
28,3.1054892420567414e-05,3.1795491399319574e-05,3.08641975308642e-05
29,3.120815007612945e-05,3.220923116565207e-05,3.0999101026070246e-05
